segment,strategy,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,ulcer_index,VaR95_daily,ES95_daily,ES99_daily,omega_ratio,skew,excess_kurtosis,hit_rate,best_day,worst_day,avg_turnover,annual_turnover,avg_HHI,avg_n_effective_assets,max_single_weight,cum_return,n_days
stressed_test,RL-Dirichlet-DistCritic,0.08867066361488403,0.14603648318880505,0.6071815869438454,0.8474627698829981,0.9439915982359701,-0.09393162373440422,3.450963030845982,-0.015586086526056968,-0.021809966506438034,-0.03161260623026341,1.1065241731959838,-0.4289856663293588,1.1866786295573784,0.5154061624649859,0.024777424746380748,-0.03730643896775357,0.00027321970373588977,0.06885136534144422,0.1000017806912364,9.999821934403942,0.10159794379776985,0.11683501161174736,357
stressed_test,1/N,0.08878167949532431,0.1459659642864528,0.6082354878325286,0.8487967729531625,0.9442819386579165,-0.09402030882912271,3.450847677149901,-0.015581685453565787,-0.02180255639220851,-0.031609313666179424,1.106722694936393,-0.4297890173138773,1.1893884361585263,0.5154061624649859,0.024781047763705336,-0.037281452918380795,0.0,0.0,0.10000000000000005,9.999999999999998,0.1,0.11702684654594742,357
stressed_test,CapWeighted,0.08878167949532431,0.1459659642864528,0.6082354878325286,0.8487967729531625,0.9442819386579165,-0.09402030882912271,3.450847677149901,-0.015581685453565787,-0.02180255639220851,-0.031609313666179424,1.106722694936393,-0.4297890173138773,1.1893884361585263,0.5154061624649859,0.024781047763705336,-0.037281452918380795,0.0,0.0,0.10000000000000005,9.999999999999998,0.1,0.11702684654594742,357
stressed_test,BuyAndHold,0.08878167949532431,0.1459659642864528,0.6082354878325286,0.8487967729531625,0.9442819386579165,-0.09402030882912271,3.450847677149901,-0.015581685453565787,-0.02180255639220851,-0.031609313666179424,1.106722694936393,-0.4297890173138773,1.1893884361585263,0.5154061624649859,0.024781047763705336,-0.037281452918380795,0.0,0.0,0.10000000000000005,9.999999999999998,0.1,0.11702684654594742,357
stressed_test,CVaR-LP,0.050249617078315476,0.1320247359960926,0.3806075937119999,0.5650452370210949,0.5046293729587525,-0.09957727348130041,4.318104957529019,-0.013731610789128533,-0.019054754563962537,-0.026614898846362277,1.0637143313834734,-0.26317776841317386,1.0267870545267517,0.5210084033613446,0.029759349913502528,-0.03318091497277365,0.070622836904039,17.79695489981783,0.24965580298624923,4.022175556073994,0.30000000000000004,0.060619312090009814,357
stressed_test,RiskParity,0.08579599175398409,0.13157011494686943,0.6520933100041607,0.9228819240102617,0.8563946236491149,-0.10018277717292201,3.4715697248518698,-0.014477745676883173,-0.01937138385643415,-0.02764329978350457,1.1133512040494724,-0.419766259698606,1.0281544547960868,0.5210084033613446,0.020774944217123857,-0.031519724851122546,0.010796066720068734,2.720608813457321,0.11224921505671726,8.940716737458272,0.23673461024855932,0.11546843695869735,357
calm_test,RL-Dirichlet-DistCritic,0.09516498128908352,0.15340397130558583,0.6203553954864137,0.708866511471091,0.746814553638432,-0.12742786120690752,4.998700113018624,-0.015202924658356667,-0.02457395250349445,-0.04503067592995864,1.1133333750956191,-1.5208858047668319,6.984340873780184,0.56353591160221,0.029647017425163805,-0.06426016215443284,0.0009195432228191635,0.2317248921504292,0.10001302085255812,9.998700203589985,0.11276694853352663,0.12711666148578682,362
calm_test,1/N,0.095107520528117,0.15335192783982998,0.6201912285500111,0.7077140665556878,0.7471624928910997,-0.1272916151871557,4.991807328839719,-0.015188000998474682,-0.024574184590527837,-0.04501290254203494,1.1133618846419964,-1.522354805968175,6.991733771490885,0.5662983425414365,0.029629505318406954,-0.06424649083080275,0.0,0.0,0.10000000000000006,9.999999999999998,0.1,0.1270365496889745,362
calm_test,CapWeighted,0.095107520528117,0.15335192783982998,0.6201912285500111,0.7077140665556878,0.7471624928910997,-0.1272916151871557,4.991807328839719,-0.015188000998474682,-0.024574184590527837,-0.04501290254203494,1.1133618846419964,-1.522354805968175,6.991733771490885,0.5662983425414365,0.029629505318406954,-0.06424649083080275,0.0,0.0,0.10000000000000006,9.999999999999998,0.1,0.1270365496889745,362
calm_test,BuyAndHold,0.095107520528117,0.15335192783982998,0.6201912285500111,0.7077140665556878,0.7471624928910997,-0.1272916151871557,4.991807328839719,-0.015188000998474682,-0.024574184590527837,-0.04501290254203494,1.1133618846419964,-1.522354805968175,6.991733771490885,0.5662983425414365,0.029629505318406954,-0.06424649083080275,0.0,0.0,0.10000000000000006,9.999999999999998,0.1,0.1270365496889745,362
calm_test,CVaR-LP,0.12904817543925007,0.14144752223130186,0.9123395970649233,1.036697527175645,0.983283273191563,-0.13124211400383057,4.541905284445105,-0.013276613314750423,-0.02220953516662743,-0.04250279277864171,1.1743422914829456,-1.4126302979072118,6.546787255635888,0.574585635359116,0.025983669717408685,-0.05253320713862032,0.06433197531118025,16.211657778417422,0.23427583328456908,4.3340698602224945,0.30000000000000004,0.1863593297911852,362
calm_test,RiskParity,0.1334975365883807,0.1386501571401727,0.9628372541435662,1.1165010807513474,1.0813600807190527,-0.12345336115841254,4.379543245146666,-0.012189012930469572,-0.020653274659178506,-0.04207211299020318,1.1811189983429125,-1.561644366490169,8.520158743239243,0.5718232044198895,0.027508231164996087,-0.06106052072426916,0.01105232441251365,2.7851857519534398,0.11075392464310321,9.050832689362165,0.20856384019685,0.19462573738901612,362
