episode,avg_reward,avg_entropy,beta,critic_loss,actor_grad_norm,critic_grad_norm,avg_alpha_sum,avg_max_weight,avg_quantile_spread,avg_objective,episode_cum_return,entropy_frac,actor_warmed_up,actor_updates_this_episode
0,-0.0004943995692416311,-13.534364704222439,0.04958889396459257,0.012259426301281988,0.11020326977596138,0.013290621738111848,17.075332486349676,0.23917789853842553,0.7363729711879315,0.181063058733662,1.2643445985218449,0.1239498667056803,True,6
1,-0.0005060394541020602,-13.44553914918708,0.048194248411798514,0.00385274295879644,0.07345662994178412,0.003269096072604932,16.521055475203518,0.2406578879198501,0.43899607951008496,0.0967622151764519,1.320792287444441,0.2124645772895328,True,16
2,-0.0005686069240384448,-13.355335731796737,0.04650353652379817,0.0016923770599392297,0.05200724831644058,0.0025284786762756364,15.90138081602613,0.2413581146394878,0.2948840422904807,0.062400657346432305,1.173392588945978,0.2763441310831346,True,16
3,-0.0005299753400119085,-13.284652184835073,0.044619428220100156,0.0008559464852744808,0.047288150101397704,0.002205119416154536,15.34264685895769,0.24149338451504057,0.21272885775790118,0.042343644534629125,1.3081221868421546,0.32248243584576486,True,16
4,-0.0004237036794432616,-13.21182979324234,0.04256324435953556,0.00048005733002793406,0.043719189090188904,0.002205062674122249,14.744789297587415,0.2443419779276076,0.16185338007569164,0.029838993211361825,1.7766627110932012,0.31474442588125556,True,16
5,-0.0008511529518921997,-13.13891089603436,0.04036605662836783,0.00030343665544952693,0.0359797658711191,0.002141249326875162,14.14089435550438,0.24674177539312547,0.12989318473442857,0.02123207811676979,0.4743108188704006,0.31175985724190325,True,16
6,-0.0006750659210838463,-13.072342018568355,0.038079156782371025,0.00021217745646063104,0.03071744233874194,0.0021854400588794272,13.572087700728348,0.24947770377747583,0.1094296094556029,0.015801582544876194,1.0191451054443421,0.2893484623053539,True,16
7,-0.00041065727916052806,-13.014719182026543,0.035756659635760066,0.0001605100891031804,0.026329348153963397,0.0019903776163419213,13.05839182173742,0.2517207336509859,0.0947466497558425,0.012124028488071304,2.0869472079659688,0.26223360994186495,True,16
8,-0.000557831112780245,-12.968538542216063,0.033451901995768994,0.00013180161994532638,0.023447176085370995,0.0020146861251094297,12.627402571083017,0.2532642885589983,0.08554672459780543,0.009713441957532832,1.4796463632446564,0.2308741712475275,True,16
9,-0.0005727649443474963,-12.933981975388182,0.031209090698219793,0.00011306346097103754,0.020462432260747686,0.0019239098256447079,12.288570855167467,0.25500168204322604,0.07911294908871339,0.007821692077434885,1.4858246922839178,0.20549040292885476,True,16
10,-0.0005565421890087286,-12.90895180048312,0.029058204903100935,0.00010401679996294842,0.019063044257358094,0.0020726352718284046,12.012471641120614,0.2552566325545554,0.07420872642945787,0.006730451020190419,1.5574905735755968,0.18301435910783298,True,16
11,-0.0007022784780530094,-12.89103171649231,0.027016651609979507,9.114048708211405e-05,0.014202775581547292,0.0017546414308001372,11.795434773146189,0.2551622786688399,0.06948618707903703,0.00484177369700831,1.0800758188720176,0.15888470620005565,True,16
12,-0.000509391365331837,-12.876909938573283,0.025090096392426004,8.66233993578634e-05,0.013378528189091392,0.0018744981352837213,11.630511761241387,0.258092113261398,0.0666397109716169,0.00429140394105109,1.8123061590042022,0.1377692349224578,True,16
13,-0.0007529666796101111,-12.867042468913182,0.023282439086792714,8.217307271312922e-05,0.01119448067091656,0.0019317755277006086,11.4979619526062,0.25780664954078747,0.06467426307798228,0.0038886670272354645,0.9024555995017505,0.11988343505635649,True,16
14,-0.0005198577369298333,-12.858318229934124,0.02158990759576627,7.739055638227755e-05,0.010997453397076928,0.0019970828879229915,11.387761341155015,0.25728808737545245,0.0617641106633318,0.002903242030165061,1.8313791850269037,0.10491866946846357,True,16
15,-0.0005767903170606656,-12.85162109278619,0.020009678453978746,7.534458348998085e-05,0.01027826560556549,0.002120600724199944,11.298286647765261,0.2579863465858847,0.060251016187780414,0.0025979725940705697,1.5421089101849166,0.09259315789722042,True,16
16,-0.0008070140123703101,-12.848541668579793,0.01854045965038527,7.41347064836548e-05,0.010645634613375182,0.002096836974886089,11.23964862905375,0.25862435612705664,0.05905320418051919,0.002118087898512939,0.8160707767295559,0.07861457395415902,True,16
17,-0.0008324600265789146,-12.844047821862205,0.017172930292368667,7.068487614350007e-05,0.010416038442117711,0.0019685091943605847,11.169733663850256,0.25705294594583544,0.05743380509193919,0.0020481722681965717,0.7200710757542017,0.0727153411499798,True,16
18,-0.0006534540932800882,-12.838823502047122,0.015899653289604968,6.970624340929875e-05,0.007535371992847057,0.00203053907203193,11.099535165707707,0.259804669890083,0.05647067074456297,0.001378232774615321,1.3534780359405088,0.06351534666593069,True,16
19,-0.0007225273075159886,-12.836303890816689,0.014717803855894336,6.584848074812517e-05,0.00866075771540702,0.0018403400171628271,11.058995942311203,0.26124388949168775,0.054273730188031694,0.0006517440994912232,1.073926770960382,0.057575857960002606,True,16
20,-0.000690591486555342,-12.833793466113196,0.013621067449555496,6.280060925463875e-05,0.006350619009169716,0.0017992116656093114,11.019342758024893,0.2598123582780727,0.052670654462159204,-0.0001755012304406971,1.192241437070431,0.05010439066069309,True,16
21,-0.0006115891971234934,-12.832466859243814,0.012604705978609979,6.234125822103747e-05,0.007548965338486417,0.0017851338236882829,10.999258256762333,0.25994249709991096,0.05250285489241305,1.740676660097744e-05,1.479866145436472,0.04505712255534749,True,16
22,-0.0006021619591470274,-12.831247498828562,0.011663036145624646,6.230958861874347e-05,0.005616121731030001,0.0018291711704690693,10.97448783459485,0.26043798910937976,0.052236989330235094,-0.0004853473590295245,1.590597729525094,0.041417030209009,True,16
23,-0.0007209249205794723,-12.8301563754778,0.010790770444474202,5.922960988957731e-05,0.006592689343037401,0.0015251871916896734,10.954632450725246,0.2593227414561367,0.05093296082136145,-0.0009650364759693623,1.0845034824384272,0.03633698194618528,True,16
24,-0.0006399767212567024,-12.828954168993729,0.010000000000000004,6.00907054045366e-05,0.0068677240057158345,0.0016356601279459936,10.934579506107454,0.26106973620064655,0.051160551017659144,-0.0008710231632942484,1.3694182720981112,0.03390793537234405,True,16
25,-0.0005347698082075879,-12.828169547915142,0.010000000000000004,6.018563060222737e-05,0.005979162032870226,0.0016593395929780028,10.918492910128261,0.2599469796355858,0.05068760011235431,-0.0008836720720564309,1.877239205528408,0.03140717982586385,True,16
26,-0.0006393357198457056,-12.82710597110749,0.010000000000000004,5.9462329398454206e-05,0.006918331240102709,0.00164283141909401,10.897966751532039,0.2626711218080474,0.05036148685736476,-0.0011349637479846355,1.421764620140372,0.03183022487492459,True,16
